,time_start,time_end,model,launch_place,target,launched,destroyed,source,missed,year,month,attack_duration
204,2025-02-21 00:00:00,2025-02-21 00:00:00,Supercam,,south,2.0,2.0,PvKPivden/posts/pfbid02TGn54AJkUgAKpmogQyZhoyq84a2ZS5MNkr7mAcbUEAFw74oJMuH3rSDoiz4kzD8ql,0.0,2025,2,0 days 00:00:00
205,2025-02-20 00:00:00,2025-02-20 10:00:00,X-101/X-555 and Kalibr and Iskander-M/KN-23,,Kharkiv oblast,14.0,,kpszsu/posts/pfbid0NViFUkAUxYKgX5Uoc5kbYfLRALi4UFdCRkQjzSusLoViLSnr1hJDDYDvk6FccFDtl,,2025,2,0 days 10:00:00
206,2025-02-20 00:00:00,2025-02-20 10:00:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo,Ukraine,161.0,80.0,kpszsu/posts/pfbid0NViFUkAUxYKgX5Uoc5kbYfLRALi4UFdCRkQjzSusLoViLSnr1hJDDYDvk6FccFDtl,81.0,2025,2,0 days 10:00:00
207,2025-02-20 00:00:00,2025-02-20 00:00:00,Supercam,,south,2.0,2.0,PvKPivden/posts/pfbid0x53B8z84PwEspbwX7coLwz1CbQbCTGq5zoBVkdJneB1wvKe4C1FbkGoGKd8zNCGbl,0.0,2025,2,0 days 00:00:00
208,2025-02-18 20:00:00,2025-02-19 09:00:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,167.0,106.0,kpszsu/posts/pfbid02tbYSeuBJmALwLJaaFmETUaGc564UgMmvCNRvBvyg4VvhYse3HzbdCXb4PCdqtSf4l,61.0,2025,2,0 days 13:00:00
209,2025-02-18 20:00:00,2025-02-19 09:00:00,Iskander-M/KN-23,Voronezh oblast,Sumy oblast,2.0,0.0,kpszsu/posts/pfbid02tbYSeuBJmALwLJaaFmETUaGc564UgMmvCNRvBvyg4VvhYse3HzbdCXb4PCdqtSf4l,2.0,2025,2,0 days 13:00:00
210,2025-02-19 00:00:00,2025-02-19 00:00:00,Молнія,,south,1.0,1.0,PvKPivden/posts/pfbid02p75TY1R2HC9rY5g2zy4mgfN7DXEXo6Db8HKwzfbQ8FxXsdD7RL249yz5fUoSEHH9l,0.0,2025,2,0 days 00:00:00
211,2025-02-19 00:00:00,2025-02-19 00:00:00,ZALA,,south,2.0,2.0,PvKPivden/posts/pfbid02p75TY1R2HC9rY5g2zy4mgfN7DXEXo6Db8HKwzfbQ8FxXsdD7RL249yz5fUoSEHH9l,0.0,2025,2,0 days 00:00:00
212,2025-02-19 00:00:00,2025-02-19 00:00:00,X-31P,,Mykolaiv oblast,2.0,0.0,PvKPivden/posts/pfbid02p75TY1R2HC9rY5g2zy4mgfN7DXEXo6Db8HKwzfbQ8FxXsdD7RL249yz5fUoSEHH9l,2.0,2025,2,0 days 00:00:00
213,2025-02-19 00:00:00,2025-02-19 00:00:00,Unknown UAV,,Mykolaiv oblast,1.0,1.0,PvKPivden/posts/pfbid02p75TY1R2HC9rY5g2zy4mgfN7DXEXo6Db8HKwzfbQ8FxXsdD7RL249yz5fUoSEHH9l,0.0,2025,2,0 days 00:00:00
214,2025-02-19 00:00:00,2025-02-19 00:00:00,Supercam,,south,2.0,2.0,PvKPivden/posts/pfbid02p75TY1R2HC9rY5g2zy4mgfN7DXEXo6Db8HKwzfbQ8FxXsdD7RL249yz5fUoSEHH9l,0.0,2025,2,0 days 00:00:00
